eq,team_id,x90,G,Gnp,penM,penA,Sh,SoT,Ga,Gnpa,SoTa,xGf,xGa
Algeria,1e2dba57,4.0,5,5,0,0,44,15,9,9,18,4.5920000000000005,6.044
Argentina,f9fddd6e,7.7,18,17,1,3,112,44,7,7,16,14.786000000000001,3.939
Australia,b90bf4f9,4.3,2,2,0,0,42,12,2,2,15,6.072,7.157
Austria,d5121f10,4.0,5,4,1,1,32,8,9,9,24,5.688000000000001,8.47
Belgium,361422b9,6.3,13,12,1,1,112,34,7,7,23,10.891,8.763000000000002
Bosnia–Herz,6c5ef1c3,4.0,4,4,0,0,37,14,8,7,16,2.1189999999999998,4.953
Brazil,304635c3,5.0,10,9,1,2,74,30,4,4,18,12.109,4.035
Cabo Verde,31fa6fa6,4.3,4,4,0,0,49,12,4,4,22,2.9510000000000005,7.0840000000000005
Canada,9c6d90a0,5.0,8,8,0,0,80,31,6,6,12,10.016,3.299
Colombia,ab73cfe5,5.3,5,5,0,0,94,30,1,1,7,11.370000000000001,7.135000000000001
Congo DR,9be9f315,4.0,5,4,1,1,41,9,5,5,18,4.188000000000001,4.01
Côte d'Ivoire,24772b12,4.0,5,5,0,0,45,14,4,4,14,5.537,5.311
Croatia,7b08e376,4.0,6,6,0,0,37,17,7,5,16,4.35,6.872
Curaçao,e0f5893a,3.0,1,1,0,0,29,7,9,8,30,1.4229999999999998,8.436
Czechia,2740937c,3.0,2,2,0,0,34,8,6,5,15,2.3689999999999998,5.442
Ecuador,123acaf8,4.0,2,2,0,0,53,20,4,4,13,5.942000000000001,3.735
Egypt,b8889750,5.3,8,8,0,0,67,18,5,5,20,9.173,11.536000000000001
England,1862c019,7.3,14,12,2,2,99,42,8,7,24,11.697000000000001,6.5249999999999995
France,b1b36dcd,7.0,16,15,1,2,120,50,4,3,12,14.735,5.49
Germany,c1e40422,4.3,11,10,1,1,74,28,5,5,10,13.065,7.981
Ghana,9349828d,4.0,2,2,0,0,24,4,3,3,19,2.327,4.584
Haiti,61828292,3.0,1,1,0,0,31,7,8,8,18,2.5220000000000002,6.7250000000000005
IR Iran,6a08f71e,3.0,3,3,0,1,37,11,3,3,18,4.226000000000001,3.875
Iraq,ec843efd,3.0,1,1,0,0,21,2,11,11,22,1.5670000000000002,8.342
Japan,ffcf1690,4.0,8,8,0,0,34,13,5,5,18,4.256,3.5770000000000004
Jordan,3e22f0fa,3.0,3,3,0,0,24,9,7,5,16,3.008,7.4
Korea Republic,473f0fbf,3.0,2,2,0,0,32,11,3,3,12,4.242,2.537
Mexico,b009a548,5.0,10,9,1,1,70,21,3,2,11,6.659999999999999,3.995
Morocco,af41ccda,6.3,10,10,0,0,69,26,5,5,20,12.443000000000001,11.706
Netherlands,5bb5024a,4.3,10,10,0,0,46,22,5,5,20,9.418,7.540000000000001
New Zealand,259855f0,3.0,4,4,0,0,31,15,10,10,21,2.715,7.0169999999999995
Norway,599eba19,6.3,12,12,0,1,66,29,11,10,31,10.158999999999999,9.182
Panama,6061a82d,3.0,0,0,0,0,32,7,4,4,10,1.941,4.702
Paraguay,d2043442,5.3,3,3,0,0,35,8,5,4,27,6.311000000000001,11.993
Portugal,4a1b4ea8,5.0,7,6,1,1,62,17,3,3,22,7.141000000000001,5.8420000000000005
Qatar,9b696ed1,3.0,2,2,0,0,18,7,8,7,22,1.597,8.777
Saudi Arabia,6e84edac,3.0,1,1,0,0,17,7,4,4,20,1.233,5.474
Scotland,602d3994,3.0,1,1,0,0,29,7,4,4,13,2.6879999999999997,6.3839999999999995
Senegal,9ab5c684,4.3,10,10,0,0,69,23,9,8,21,9.382,5.865
South Africa,506f1741,4.0,2,1,1,1,39,11,4,4,17,2.7849999999999997,4.753
Spain,b561dd30,7.0,12,11,1,1,120,42,1,1,10,13.468,2.132
Sweden,296f69e7,4.0,7,7,0,0,48,23,10,10,24,3.683,7.361000000000001
Switzerland,81021a70,6.7,10,8,2,2,74,30,6,6,26,13.664000000000001,10.265
Tunisia,a7c7562a,3.0,2,2,0,0,18,6,11,11,19,0.9480000000000001,5.3149999999999995
Türkiye,ac6bcf92,3.0,3,3,0,0,71,16,5,5,13,6.656,3.659
United States,0f66725b,5.0,9,9,0,0,59,19,8,8,16,6.1739999999999995,6.201
Uruguay,870e020f,3.0,3,3,0,0,49,13,4,4,8,4.295,2.44
Uzbekistan,cd389e75,3.0,2,2,0,0,18,5,10,9,17,1.669,6.391000000000001
