team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_id
dzvs Algeria,22,4.0,9,39,18,46.2,9.75,4.50,0.23,0.50,0,0,1e2dba57
arvs Argentina,24,7.7,7,55,16,29.1,7.17,2.09,0.13,0.44,0,0,f9fddd6e
auvs Australia,23,4.3,2,61,15,24.6,14.08,3.46,0.03,0.13,0,0,b90bf4f9
atvs Austria,20,4.0,9,58,24,41.4,14.50,6.00,0.16,0.38,0,1,d5121f10
bevs Belgium,23,6.3,7,70,23,32.9,11.05,3.63,0.10,0.30,0,0,361422b9
bavs Bosnia–Herz,23,4.0,8,43,16,37.2,10.75,4.00,0.16,0.44,1,1,6c5ef1c3
brvs Brazil,22,5.0,4,49,18,36.7,9.80,3.60,0.08,0.22,0,0,304635c3
cvvs Cabo Verde,21,4.3,4,73,22,30.1,16.85,5.08,0.05,0.18,0,0,31fa6fa6
cavs Canada,22,5.0,6,27,12,44.4,5.40,2.40,0.22,0.50,0,0,9c6d90a0
covs Colombia,21,5.3,1,43,7,16.3,8.06,1.31,0.02,0.14,0,0,ab73cfe5
cdvs Congo DR,21,4.0,5,46,18,39.1,11.50,4.50,0.11,0.28,0,0,9be9f315
civs Côte d'Ivoire,22,4.0,4,48,14,29.2,12.00,3.50,0.08,0.29,0,0,24772b12
hrvs Croatia,19,4.0,7,51,16,31.4,12.75,4.00,0.10,0.31,2,2,7b08e376
cwvs Curaçao,22,3.0,9,60,30,50.0,20.00,10.00,0.13,0.27,1,1,e0f5893a
czvs Czechia,21,3.0,6,43,15,34.9,14.33,5.00,0.12,0.33,1,1,2740937c
ecvs Ecuador,21,4.0,4,51,13,25.5,12.75,3.25,0.08,0.31,0,0,123acaf8
egvs Egypt,21,5.3,5,74,20,27.0,13.87,3.75,0.07,0.25,0,2,b8889750
engvs England,22,7.3,8,80,24,30.0,10.91,3.27,0.09,0.29,1,1,1862c019
frvs France,22,7.0,4,48,12,25.0,6.86,1.71,0.06,0.25,1,2,b1b36dcd
devs Germany,23,4.3,5,31,10,32.3,7.15,2.31,0.16,0.50,0,0,c1e40422
ghvs Ghana,22,4.0,3,58,19,32.8,14.50,4.75,0.05,0.16,0,0,9349828d
htvs Haiti,18,3.0,8,39,18,46.2,13.00,6.00,0.21,0.44,0,0,61828292
irvs IR Iran,20,3.0,3,52,18,34.6,17.33,6.00,0.06,0.17,0,0,6a08f71e
iqvs Iraq,25,3.0,11,59,22,37.3,19.67,7.33,0.19,0.50,0,0,ec843efd
jpvs Japan,24,4.0,5,42,18,42.9,10.50,4.50,0.12,0.28,0,0,ffcf1690
jovs Jordan,20,3.0,7,40,16,40.0,13.33,5.33,0.13,0.31,2,2,3e22f0fa
krvs Korea Republic,20,3.0,3,28,12,42.9,9.33,4.00,0.11,0.25,0,0,473f0fbf
mxvs Mexico,25,5.0,3,38,11,28.9,7.60,2.20,0.05,0.18,1,1,b009a548
mavs Morocco,23,6.3,5,65,20,30.8,10.26,3.16,0.08,0.25,0,1,af41ccda
nlvs Netherlands,22,4.3,5,47,20,42.6,10.85,4.62,0.11,0.25,0,0,5bb5024a
nzvs New Zealand,17,3.0,10,71,21,29.6,23.67,7.00,0.14,0.48,0,0,259855f0
novs Norway,25,6.3,11,87,31,35.6,13.74,4.89,0.11,0.32,1,2,599eba19
pavs Panama,20,3.0,4,31,10,32.3,10.33,3.33,0.13,0.40,0,0,6061a82d
pyvs Paraguay,24,5.3,5,96,27,28.1,18.00,5.06,0.04,0.15,1,1,d2043442
ptvs Portugal,22,5.0,3,67,22,32.8,13.40,4.40,0.04,0.14,0,0,4a1b4ea8
qavs Qatar,22,3.0,8,72,22,30.6,24.00,7.33,0.10,0.32,1,1,9b696ed1
savs Saudi Arabia,18,3.0,4,64,20,31.3,21.33,6.67,0.06,0.20,0,0,6e84edac
sctvs Scotland,20,3.0,4,48,13,27.1,16.00,4.33,0.08,0.31,0,0,602d3994
snvs Senegal,22,4.3,9,49,21,42.9,11.31,4.85,0.16,0.38,1,1,9ab5c684
zavs South Africa,19,4.0,4,50,17,34.0,12.50,4.25,0.08,0.24,0,0,506f1741
esvs Spain,20,7.0,1,44,10,22.7,6.29,1.43,0.02,0.10,0,0,b561dd30
sevs Sweden,22,4.0,10,49,24,49.0,12.25,6.00,0.20,0.42,0,0,296f69e7
chvs Switzerland,23,6.7,6,70,26,37.1,10.50,3.90,0.09,0.23,0,0,81021a70
tnvs Tunisia,20,3.0,11,44,19,43.2,14.67,6.33,0.25,0.58,0,0,a7c7562a
trvs Türkiye,23,3.0,5,34,13,38.2,11.33,4.33,0.15,0.38,0,0,ac6bcf92
usvs United States,24,5.0,8,48,16,33.3,9.60,3.20,0.17,0.50,0,0,0f66725b
uyvs Uruguay,17,3.0,4,25,8,32.0,8.33,2.67,0.16,0.50,0,0,870e020f
uzvs Uzbekistan,23,3.0,10,51,17,33.3,17.00,5.67,0.18,0.53,1,1,cd389e75
