team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_id
dzvs Algeria,22,29.5,39.0,4,44,360,4.0,9,7,16,9,0,0,2,0,2.25,1.75,4.00,2.25,4.00,1e2dba57
arvs Argentina,24,29.1,39.1,7,77,690,7.7,7,7,14,7,0,0,14,1,0.91,0.91,1.83,0.91,1.83,f9fddd6e
auvs Australia,23,28.2,59.0,4,44,390,4.3,2,1,3,2,0,0,7,0,0.46,0.23,0.69,0.46,0.69,b90bf4f9
atvs Austria,20,28.3,55.0,4,44,360,4.0,9,7,16,9,0,1,2,0,2.25,1.75,4.00,2.25,4.00,d5121f10
bevs Belgium,23,28.7,48.8,6,66,570,6.3,7,2,9,7,0,0,10,0,1.11,0.32,1.42,1.11,1.42,361422b9
bavs Bosnia–Herz,23,29.2,54.0,4,44,360,4.0,8,4,12,7,1,1,4,1,2.00,1.00,3.00,1.75,2.75,6c5ef1c3
brvs Brazil,22,28.0,47.0,5,55,450,5.0,4,3,7,4,0,0,7,0,0.80,0.60,1.40,0.80,1.40,304635c3
cvvs Cabo Verde,21,28.9,62.8,4,44,390,4.3,4,3,7,4,0,0,7,0,0.92,0.69,1.62,0.92,1.62,31fa6fa6
cavs Canada,22,27.7,45.6,5,55,450,5.0,6,6,12,6,0,0,9,2,1.20,1.20,2.40,1.20,2.40,9c6d90a0
covs Colombia,21,28.8,42.2,5,55,480,5.3,1,0,1,1,0,0,8,0,0.19,0.00,0.19,0.19,0.19,ab73cfe5
cdvs Congo DR,21,28.2,60.0,4,44,360,4.0,5,5,10,5,0,0,8,0,1.25,1.25,2.50,1.25,2.50,9be9f315
civs Côte d'Ivoire,22,28.1,50.3,4,44,360,4.0,4,4,8,4,0,0,4,0,1.00,1.00,2.00,1.00,2.00,24772b12
hrvs Croatia,19,28.2,50.3,4,44,360,4.0,7,5,12,5,2,2,3,0,1.75,1.25,3.00,1.25,2.50,7b08e376
cwvs Curaçao,22,27.2,67.7,3,33,270,3.0,9,8,17,8,1,1,2,0,3.00,2.67,5.67,2.67,5.33,e0f5893a
czvs Czechia,21,27.6,57.3,3,33,270,3.0,6,5,11,5,1,1,4,0,2.00,1.67,3.67,1.67,3.33,2740937c
ecvs Ecuador,21,28.3,44.3,4,44,360,4.0,4,4,8,4,0,0,9,0,1.00,1.00,2.00,1.00,2.00,123acaf8
egvs Egypt,21,29.2,48.6,5,55,480,5.3,5,4,9,5,0,2,8,0,0.94,0.75,1.69,0.94,1.69,b8889750
engvs England,22,28.5,45.9,7,77,660,7.3,8,6,14,7,1,1,10,0,1.09,0.82,1.91,0.95,1.77,1862c019
frvs France,22,27.2,42.7,7,77,630,7.0,4,3,7,3,1,2,4,0,0.57,0.43,1.00,0.43,0.86,b1b36dcd
devs Germany,23,27.6,35.0,4,44,390,4.3,5,3,8,5,0,0,6,0,1.15,0.69,1.85,1.15,1.85,c1e40422
ghvs Ghana,22,29.1,63.8,4,44,360,4.0,3,3,6,3,0,0,6,0,0.75,0.75,1.50,0.75,1.50,9349828d
htvs Haiti,18,28.7,57.3,3,33,270,3.0,8,5,13,8,0,0,4,0,2.67,1.67,4.33,2.67,4.33,61828292
irvs IR Iran,20,29.7,61.0,3,33,270,3.0,3,3,6,3,0,0,4,1,1.00,1.00,2.00,1.00,2.00,6a08f71e
iqvs Iraq,25,28.2,61.7,3,33,270,3.0,11,10,21,11,0,0,2,0,3.67,3.33,7.00,3.67,7.00,ec843efd
jpvs Japan,24,27.7,53.8,4,44,360,4.0,5,5,10,5,0,0,7,0,1.25,1.25,2.50,1.25,2.50,ffcf1690
jovs Jordan,20,29.0,69.3,3,33,270,3.0,7,2,9,5,2,2,2,0,2.33,0.67,3.00,1.67,2.33,3e22f0fa
krvs Korea Republic,20,27.7,37.0,3,33,270,3.0,3,2,5,3,0,0,1,0,1.00,0.67,1.67,1.00,1.67,473f0fbf
mxvs Mexico,25,27.8,47.8,5,55,450,5.0,3,2,5,2,1,1,11,4,0.60,0.40,1.00,0.40,0.80,b009a548
mavs Morocco,23,28.4,41.0,6,66,570,6.3,5,5,10,5,0,1,10,0,0.79,0.79,1.58,0.79,1.58,af41ccda
nlvs Netherlands,22,27.5,46.8,4,44,390,4.3,5,5,10,5,0,0,4,0,1.15,1.15,2.31,1.15,2.31,5bb5024a
nzvs New Zealand,17,30.4,53.0,3,33,270,3.0,10,7,17,10,0,0,2,0,3.33,2.33,5.67,3.33,5.67,259855f0
novs Norway,25,27.6,47.8,6,66,570,6.3,11,9,20,10,1,2,3,0,1.74,1.42,3.16,1.58,3.00,599eba19
pavs Panama,20,27.8,54.3,3,33,270,3.0,4,3,7,4,0,0,3,0,1.33,1.00,2.33,1.33,2.33,6061a82d
pyvs Paraguay,24,27.5,70.0,5,55,480,5.3,5,4,9,4,1,1,10,0,0.94,0.75,1.69,0.75,1.50,d2043442
ptvs Portugal,22,28.8,41.6,5,55,450,5.0,3,2,5,3,0,0,6,0,0.60,0.40,1.00,0.60,1.00,4a1b4ea8
qavs Qatar,22,28.3,67.0,3,33,270,3.0,8,3,11,7,1,1,3,0,2.67,1.00,3.67,2.33,3.33,9b696ed1
savs Saudi Arabia,18,29.0,61.7,3,33,270,3.0,4,3,7,4,0,0,1,0,1.33,1.00,2.33,1.33,2.33,6e84edac
sctvs Scotland,20,28.4,55.7,3,33,270,3.0,4,4,8,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67,602d3994
snvs Senegal,22,28.3,44.8,4,44,390,4.3,9,6,15,8,1,1,4,1,2.08,1.38,3.46,1.85,3.23,9ab5c684
zavs South Africa,19,28.1,52.0,4,44,360,4.0,4,3,7,4,0,0,5,1,1.00,0.75,1.75,1.00,1.75,506f1741
esvs Spain,20,29.1,36.0,7,77,630,7.0,1,1,2,1,0,0,13,1,0.14,0.14,0.29,0.14,0.29,b561dd30
sevs Sweden,22,27.7,53.8,4,44,360,4.0,10,10,20,10,0,0,2,0,2.50,2.50,5.00,2.50,5.00,296f69e7
chvs Switzerland,23,28.9,46.0,6,66,600,6.7,6,4,10,6,0,0,13,1,0.90,0.60,1.50,0.90,1.50,81021a70
tnvs Tunisia,20,27.9,60.7,3,33,270,3.0,11,10,21,11,0,0,0,0,3.67,3.33,7.00,3.67,7.00,a7c7562a
trvs Türkiye,23,26.6,33.7,3,33,270,3.0,5,3,8,5,0,0,2,1,1.67,1.00,2.67,1.67,2.67,ac6bcf92
usvs United States,24,27.4,43.2,5,55,450,5.0,8,8,16,8,0,0,11,0,1.60,1.60,3.20,1.60,3.20,0f66725b
uyvs Uruguay,17,29.1,45.0,3,33,270,3.0,4,1,5,4,0,0,4,0,1.33,0.33,1.67,1.33,1.67,870e020f
uzvs Uzbekistan,23,29.3,61.7,3,33,270,3.0,10,6,16,9,1,1,5,0,3.33,2.00,5.33,3.00,5.00,cd389e75
