team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_id
dzAlgeria,22,27.8,61.0,4,44,360,4.0,5,3,8,5,0,0,3,0,1.25,0.75,2.00,1.25,2.00,1e2dba57
arArgentina,24,30.0,60.9,7,77,690,7.7,18,12,30,17,1,3,9,0,2.35,1.57,3.91,2.22,3.78,f9fddd6e
auAustralia,23,25.8,41.0,4,44,390,4.3,2,1,3,2,0,0,5,0,0.46,0.23,0.69,0.46,0.69,b90bf4f9
atAustria,20,29.2,45.0,4,44,360,4.0,5,4,9,4,1,1,5,0,1.25,1.00,2.25,1.00,2.00,d5121f10
beBelgium,23,29.6,51.2,6,66,570,6.3,13,10,23,12,1,1,6,1,2.05,1.58,3.63,1.89,3.47,361422b9
baBosnia–Herz,23,27.0,46.0,4,44,360,4.0,4,3,7,4,0,0,7,1,1.00,0.75,1.75,1.00,1.75,6c5ef1c3
brBrazil,22,29.6,53.0,5,55,450,5.0,10,8,18,9,1,2,8,0,2.00,1.60,3.60,1.80,3.40,304635c3
cvCabo Verde,21,31.2,37.3,4,44,390,4.3,4,2,6,4,0,0,5,0,0.92,0.46,1.38,0.92,1.38,31fa6fa6
caCanada,22,27.4,54.4,5,55,450,5.0,8,3,11,8,0,0,11,0,1.60,0.60,2.20,1.60,2.20,9c6d90a0
coColombia,21,30.5,57.8,5,55,480,5.3,5,5,10,5,0,0,8,0,0.94,0.94,1.87,0.94,1.87,ab73cfe5
cdCongo DR,21,29.2,40.0,4,44,360,4.0,5,3,8,4,1,1,6,0,1.25,0.75,2.00,1.00,1.75,9be9f315
ciCôte d'Ivoire,22,25.9,49.8,4,44,360,4.0,5,4,9,5,0,0,4,0,1.25,1.00,2.25,1.25,2.25,24772b12
hrCroatia,19,29.6,49.8,4,44,360,4.0,6,5,11,6,0,0,4,0,1.50,1.25,2.75,1.50,2.75,7b08e376
cwCuraçao,22,29.3,32.3,3,33,270,3.0,1,0,1,1,0,0,7,0,0.33,0.00,0.33,0.33,0.33,e0f5893a
czCzechia,21,28.2,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,2740937c
ecEcuador,21,27.3,55.8,4,44,360,4.0,2,2,4,2,0,0,8,1,0.50,0.50,1.00,0.50,1.00,123acaf8
egEgypt,21,29.8,51.4,5,55,480,5.3,8,8,16,8,0,0,12,0,1.50,1.50,3.00,1.50,3.00,b8889750
engEngland,22,27.0,54.1,7,77,660,7.3,14,11,25,12,2,2,8,1,1.91,1.50,3.41,1.64,3.14,1862c019
frFrance,22,27.4,57.3,7,77,630,7.0,16,14,30,15,1,2,6,0,2.29,2.00,4.29,2.14,4.14,b1b36dcd
deGermany,23,28.6,65.0,4,44,390,4.3,11,10,21,10,1,1,3,0,2.54,2.31,4.85,2.31,4.62,c1e40422
ghGhana,22,27.8,36.3,4,44,360,4.0,2,1,3,2,0,0,6,0,0.50,0.25,0.75,0.50,0.75,9349828d
htHaiti,18,29.0,42.7,3,33,270,3.0,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,61828292
irIR Iran,20,32.2,39.0,3,33,270,3.0,3,1,4,3,0,1,6,0,1.00,0.33,1.33,1.00,1.33,6a08f71e
iqIraq,25,26.9,38.3,3,33,270,3.0,1,1,2,1,0,0,4,1,0.33,0.33,0.67,0.33,0.67,ec843efd
jpJapan,24,28.0,46.3,4,44,360,4.0,8,7,15,8,0,0,4,0,2.00,1.75,3.75,2.00,3.75,ffcf1690
joJordan,20,28.7,30.7,3,33,270,3.0,3,3,6,3,0,0,4,0,1.00,1.00,2.00,1.00,2.00,3e22f0fa
krKorea Republic,20,28.7,63.0,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33,473f0fbf
mxMexico,25,28.1,52.2,5,55,450,5.0,10,7,17,9,1,1,4,1,2.00,1.40,3.40,1.80,3.20,b009a548
maMorocco,23,26.4,59.0,6,66,570,6.3,10,9,19,10,0,0,7,0,1.58,1.42,3.00,1.58,3.00,af41ccda
nlNetherlands,22,27.6,53.3,4,44,390,4.3,10,10,20,10,0,0,3,0,2.31,2.31,4.62,2.31,4.62,5bb5024a
nzNew Zealand,17,28.5,47.0,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.00,2.33,1.33,2.33,259855f0
noNorway,25,27.5,52.2,6,66,570,6.3,12,10,22,12,0,1,3,0,1.89,1.58,3.47,1.89,3.47,599eba19
paPanama,20,29.3,45.7,3,33,270,3.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,6061a82d
pyParaguay,24,28.5,30.0,5,55,480,5.3,3,3,6,3,0,0,9,1,0.56,0.56,1.13,0.56,1.13,d2043442
ptPortugal,22,28.2,58.4,5,55,450,5.0,7,4,11,6,1,1,7,0,1.40,0.80,2.20,1.20,2.00,4a1b4ea8
qaQatar,22,30.2,33.0,3,33,270,3.0,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33,9b696ed1
saSaudi Arabia,18,29.0,38.3,3,33,270,3.0,1,0,1,1,0,0,6,0,0.33,0.00,0.33,0.33,0.33,6e84edac
sctScotland,20,29.6,44.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.00,0.33,0.33,0.33,602d3994
snSenegal,22,29.0,55.3,4,44,390,4.3,10,9,19,10,0,0,3,0,2.31,2.08,4.38,2.31,4.38,9ab5c684
zaSouth Africa,19,27.1,48.0,4,44,360,4.0,2,1,3,1,1,1,5,2,0.50,0.25,0.75,0.25,0.50,506f1741
esSpain,20,26.8,64.0,7,77,630,7.0,12,9,21,11,1,1,6,0,1.71,1.29,3.00,1.57,2.86,b561dd30
seSweden,22,27.1,46.3,4,44,360,4.0,7,6,13,7,0,0,5,0,1.75,1.50,3.25,1.75,3.25,296f69e7
chSwitzerland,23,29.8,54.0,6,66,600,6.7,10,6,16,8,2,2,8,1,1.50,0.90,2.40,1.20,2.10,81021a70
tnTunisia,20,27.9,39.3,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33,a7c7562a
trTürkiye,23,27.1,66.3,3,33,270,3.0,3,3,6,3,0,0,2,0,1.00,1.00,2.00,1.00,2.00,ac6bcf92
usUnited States,24,27.1,56.8,5,55,450,5.0,9,4,13,9,0,0,7,1,1.80,0.80,2.60,1.80,2.60,0f66725b
uyUruguay,17,29.1,55.0,3,33,270,3.0,3,1,4,3,0,0,5,1,1.00,0.33,1.33,1.00,1.33,870e020f
uzUzbekistan,23,27.4,38.3,3,33,270,3.0,2,1,3,2,0,0,4,0,0.67,0.33,1.00,0.67,1.00,cd389e75
